Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Season,Review Rating,Shipping Type,Previous Purchases,Payment Method
76,64,Male,Scarf,Accessories,85,Utah,Summer,2.7,Free Shipping,21,Credit Card
77,50,Male,Hat,Accessories,43,Delaware,Summer,4.2,Free Shipping,32,Venmo
78,22,Male,Dress,Clothing,53,Delaware,Summer,3.3,Next Day Air,36,Debit Card
79,50,Male,Skirt,Clothing,91,Nebraska,Spring,4.7,Free Shipping,50,Venmo
80,38,Male,Jacket,Outerwear,96,Iowa,Winter,2.6,2-Day Shipping,43,Bank Transfer
81,19,Male,Sandals,Footwear,72,New York,Summer,3.3,Store Pickup,24,Credit Card
82,67,Male,Shoes,Footwear,96,Virginia,Summer,2.6,Express,36,Credit Card
83,19,Male,Pants,Clothing,28,Georgia,Spring,4,2-Day Shipping,21,Credit Card
84,36,Male,Dress,Clothing,40,Texas,Summer,4.1,Standard,34,Bank Transfer
85,52,Male,Coat,Outerwear,32,Arizona,Spring,4.4,Standard,42,Bank Transfer
86,53,Male,Sunglasses,Accessories,95,New Mexico,Winter,4.5,Next Day Air,2,Debit Card
87,24,Male,Hoodie,Clothing,41,Nevada,Spring,3.7,2-Day Shipping,47,Cash
88,52,Male,Shoes,Footwear,53,Ohio,Fall,3.7,2-Day Shipping,44,Debit Card
89,33,Male,T-shirt,Clothing,47,Wyoming,Fall,3.5,Free Shipping,35,Credit Card
90,47,Male,Jacket,Outerwear,83,California,Fall,3.6,Next Day Air,15,Cash
91,25,Male,Hat,Accessories,48,South Carolina,Summer,2.9,Express,29,Credit Card
92,44,Male,Scarf,Accessories,99,South Carolina,Winter,4.6,Standard,18,Credit Card
93,61,Male,Jacket,Outerwear,87,Texas,Winter,4.4,2-Day Shipping,13,Venmo
94,37,Male,Sweater,Clothing,62,Florida,Fall,4.5,Standard,46,Credit Card
95,58,Male,Skirt,Clothing,76,Nevada,Spring,4.6,Free Shipping,28,Credit Card
96,37,Male,Sneakers,Footwear,100,Missouri,Fall,3.8,Free Shipping,48,PayPal
97,32,Male,Gloves,Accessories,73,Delaware,Spring,3.6,Express,43,Venmo
98,21,Male,Shoes,Footwear,92,Virginia,Winter,4.8,Store Pickup,37,Cash
99,20,Male,Jeans,Clothing,67,New York,Spring,2.6,Next Day Air,20,Bank Transfer
100,26,Male,Hoodie,Clothing,40,Missouri,Summer,3.7,Express,33,Debit Card
101,62,Male,Sunglasses,Accessories,98,South Dakota,Fall,2.7,Express,31,Cash
102,27,Male,Coat,Outerwear,85,North Dakota,Spring,4.6,Express,50,Credit Card
103,51,Male,Socks,Clothing,67,Oklahoma,Winter,4.8,Next Day Air,35,Credit Card
104,54,Male,Boots,Footwear,89,West Virginia,Winter,4,Next Day Air,22,Venmo
105,55,Male,Sunglasses,Accessories,24,New Hampshire,Spring,4.4,2-Day Shipping,1,PayPal
106,69,Male,Backpack,Accessories,96,New York,Fall,3.6,Next Day Air,4,Bank Transfer
107,64,Male,Jacket,Outerwear,35,Minnesota,Summer,3.7,Standard,31,Credit Card
108,28,Male,Sneakers,Footwear,67,Maryland,Winter,3.1,Next Day Air,46,PayPal
109,70,Male,Socks,Clothing,79,Montana,Spring,3.4,Next Day Air,32,Bank Transfer
110,58,Male,T-shirt,Clothing,85,Alabama,Spring,2.6,Next Day Air,43,Bank Transfer
111,56,Male,Backpack,Accessories,26,New York,Summer,4,Standard,26,Venmo
112,26,Male,Belt,Accessories,75,Massachusetts,Summer,5,Free Shipping,9,Credit Card
113,37,Male,Gloves,Accessories,65,Florida,Spring,4.3,Free Shipping,28,PayPal
114,44,Male,Hat,Accessories,54,New Jersey,Winter,3.1,Next Day Air,20,PayPal
115,70,Male,Coat,Outerwear,95,Massachusetts,Summer,3.7,Store Pickup,9,Cash
116,53,Male,Skirt,Clothing,94,Wyoming,Spring,3.8,Standard,48,Debit Card
117,55,Male,Shoes,Footwear,86,Virginia,Spring,3.4,Free Shipping,12,Venmo
118,50,Male,Sandals,Footwear,32,South Dakota,Summer,4.6,Express,29,Cash
119,50,Male,Sweater,Clothing,45,Kentucky,Fall,4.8,2-Day Shipping,27,Cash
120,38,Male,Coat,Outerwear,76,Wyoming,Fall,4.3,Express,44,Cash
121,64,Male,Hat,Accessories,84,West Virginia,Summer,4,Express,32,Bank Transfer
122,19,Male,Shorts,Clothing,72,Virginia,Winter,4.2,Standard,11,Cash
123,40,Male,Backpack,Accessories,40,Washington,Spring,4.8,2-Day Shipping,44,Cash
124,57,Male,Sweater,Clothing,89,Louisiana,Fall,3.1,Free Shipping,46,Cash
125,44,Male,Sweater,Clothing,86,Nevada,Spring,3.1,Next Day Air,50,PayPal
126,49,Male,Shorts,Clothing,54,California,Winter,3.6,Next Day Air,45,Venmo
127,43,Male,Shorts,Clothing,36,Mississippi,Spring,3.9,Store Pickup,48,Cash
128,24,Male,Sweater,Clothing,89,Mississippi,Winter,4.8,Next Day Air,26,Credit Card
129,20,Male,Scarf,Accessories,32,California,Spring,4.7,Standard,21,Credit Card
130,24,Male,Dress,Clothing,67,Pennsylvania,Summer,4.2,2-Day Shipping,49,PayPal
131,44,Male,Scarf,Accessories,39,Kentucky,Fall,3.7,Next Day Air,13,PayPal
132,28,Male,Skirt,Clothing,29,Maine,Summer,3.9,Standard,46,Credit Card
133,30,Male,Backpack,Accessories,58,New Mexico,Fall,4.7,2-Day Shipping,42,PayPal
134,52,Male,Sweater,Clothing,65,Montana,Winter,2.5,Next Day Air,25,Venmo
135,43,Male,Hat,Accessories,94,Texas,Fall,4.9,Store Pickup,25,Cash
136,43,Male,Sandals,Footwear,81,Kansas,Fall,4.1,Express,12,PayPal
137,39,Male,Blouse,Clothing,86,South Carolina,Winter,3.3,Free Shipping,4,Debit Card
138,68,Male,Sneakers,Footwear,43,Colorado,Spring,4.7,Free Shipping,38,PayPal
139,68,Male,Skirt,Clothing,29,Georgia,Winter,4.4,Store Pickup,42,Bank Transfer
140,49,Male,Coat,Outerwear,95,Florida,Fall,3.8,Store Pickup,30,Venmo
141,63,Male,Shirt,Clothing,28,North Carolina,Fall,3.9,2-Day Shipping,50,Credit Card
142,56,Male,Gloves,Accessories,46,Virginia,Fall,4.9,Free Shipping,45,PayPal
143,37,Male,Jacket,Outerwear,58,Nebraska,Fall,3.1,Free Shipping,33,Credit Card
144,30,Male,Coat,Outerwear,48,Missouri,Fall,2.7,Store Pickup,25,PayPal
145,19,Male,Shoes,Footwear,43,New Jersey,Fall,3.2,Express,25,Cash
146,24,Male,Jewelry,Accessories,95,Missouri,Fall,4.5,Standard,44,Debit Card
147,52,Male,Skirt,Clothing,30,Colorado,Fall,4,Standard,21,Venmo
148,63,Male,Shoes,Footwear,64,Idaho,Summer,3.5,2-Day Shipping,31,Bank Transfer
149,37,Male,Gloves,Accessories,90,Wyoming,Fall,2.6,Store Pickup,47,Debit Card
150,38,Male,Pants,Clothing,76,Delaware,Summer,3.2,Free Shipping,14,PayPal
151,35,Male,Boots,Footwear,96,California,Fall,4.9,Standard,17,Debit Card
152,28,Male,Sunglasses,Accessories,47,North Dakota,Fall,4.5,Next Day Air,3,Venmo
153,30,Male,Shirt,Clothing,85,South Carolina,Summer,4.3,Express,42,Venmo
154,69,Male,Hoodie,Clothing,55,North Carolina,Winter,3.2,Standard,22,Debit Card
155,41,Male,Dress,Clothing,98,Oklahoma,Fall,3.6,Next Day Air,21,Venmo
156,63,Male,Socks,Clothing,77,Maine,Spring,4.3,Free Shipping,21,Bank Transfer
157,35,Male,Shorts,Clothing,26,Missouri,Fall,4,Standard,40,Debit Card
158,36,Male,Hat,Accessories,68,Vermont,Fall,3,Next Day Air,1,Bank Transfer
159,25,Male,Shirt,Clothing,73,Connecticut,Fall,4.1,Standard,50,Bank Transfer
160,58,Male,Gloves,Accessories,27,New Hampshire,Fall,3.8,Store Pickup,39,Bank Transfer
161,27,Male,Gloves,Accessories,23,Texas,Summer,4.6,Free Shipping,34,Venmo
162,65,Male,Backpack,Accessories,49,North Dakota,Fall,3,Express,29,Venmo
163,54,Male,Sunglasses,Accessories,74,California,Summer,3,Store Pickup,31,PayPal
164,54,Male,Skirt,Clothing,67,Virginia,Summer,3.4,Standard,8,Debit Card
165,59,Male,Handbag,Accessories,65,Delaware,Spring,2.6,Free Shipping,5,Credit Card
166,42,Male,Handbag,Accessories,60,Kentucky,Winter,2.8,Store Pickup,7,Cash
167,46,Male,Sneakers,Footwear,31,Delaware,Fall,4,Store Pickup,30,Cash
168,33,Male,Gloves,Accessories,27,Arkansas,Fall,4,Express,14,Credit Card
169,34,Male,Shoes,Footwear,80,Louisiana,Summer,3,Express,5,Cash
170,27,Male,Jacket,Outerwear,30,Nevada,Summer,3.3,Standard,3,PayPal
171,52,Male,Shirt,Clothing,25,Wyoming,Fall,2.6,Store Pickup,46,Venmo
172,29,Male,Shorts,Clothing,35,Virginia,Summer,3.6,Store Pickup,4,Credit Card
173,54,Male,Jewelry,Accessories,67,Nebraska,Summer,3.9,Next Day Air,42,Credit Card
174,25,Male,Hat,Accessories,46,Hawaii,Fall,3.4,Standard,30,Cash
175,41,Male,Shoes,Footwear,35,Vermont,Winter,3.5,Express,37,Venmo
176,53,Male,Coat,Outerwear,86,Oklahoma,Fall,2.8,Next Day Air,2,Bank Transfer
177,53,Male,Backpack,Accessories,81,New Hampshire,Spring,2.7,Next Day Air,30,Credit Card
178,21,Male,Hoodie,Clothing,42,Kansas,Fall,3.7,Next Day Air,47,Bank Transfer
179,61,Male,Skirt,Clothing,43,Idaho,Fall,4.3,2-Day Shipping,21,PayPal
180,64,Male,Boots,Footwear,31,Illinois,Fall,4.9,Store Pickup,9,Bank Transfer
181,51,Male,Sandals,Footwear,81,South Dakota,Fall,3.3,Store Pickup,12,Debit Card
182,32,Male,Pants,Clothing,61,Massachusetts,Summer,4.7,Next Day Air,4,Bank Transfer
183,38,Male,Gloves,Accessories,96,Alabama,Summer,2.8,Store Pickup,10,Debit Card
184,58,Male,Skirt,Clothing,29,Ohio,Spring,3.6,2-Day Shipping,26,Credit Card
185,32,Male,Sneakers,Footwear,33,Hawaii,Spring,3,Express,40,Cash
186,46,Male,T-shirt,Clothing,32,Wisconsin,Summer,4.5,Store Pickup,34,Bank Transfer
187,39,Male,Backpack,Accessories,56,Minnesota,Summer,2.9,Standard,31,Debit Card
188,19,Male,Shoes,Footwear,94,Georgia,Spring,3.3,Store Pickup,1,Bank Transfer
189,50,Male,Hoodie,Clothing,53,Arkansas,Spring,3.1,Express,5,Bank Transfer
190,36,Male,Blouse,Clothing,82,West Virginia,Fall,4.4,Next Day Air,4,Credit Card
191,65,Male,Coat,Outerwear,70,Indiana,Fall,3,Free Shipping,48,Venmo
192,64,Male,Hat,Accessories,76,Utah,Fall,3.9,Free Shipping,29,Cash
193,46,Male,Shoes,Footwear,29,Nebraska,Summer,2.9,Express,12,PayPal
194,36,Male,Belt,Accessories,100,North Dakota,Fall,3,Standard,29,Venmo
195,51,Male,Backpack,Accessories,94,Missouri,Spring,3.1,Express,15,Debit Card
196,51,Male,Jacket,Outerwear,25,New York,Fall,4.3,Free Shipping,34,Credit Card
197,38,Male,Boots,Footwear,88,Washington,Summer,3.9,Next Day Air,41,Credit Card
198,59,Male,Scarf,Accessories,78,South Carolina,Fall,3.2,2-Day Shipping,41,Credit Card
199,57,Male,Jewelry,Accessories,45,Utah,Winter,4.8,Standard,39,Credit Card
200,54,Male,Hat,Accessories,73,Idaho,Summer,3.8,Express,32,Cash
201,25,Male,Dress,Clothing,61,Pennsylvania,Summer,3.3,Next Day Air,29,Venmo
202,69,Male,Blouse,Clothing,22,Missouri,Fall,4.3,Free Shipping,15,Bank Transfer
203,57,Male,Hat,Accessories,38,Nebraska,Spring,2.7,Express,33,Venmo
204,70,Male,Scarf,Accessories,38,Indiana,Fall,3.2,Next Day Air,18,Bank Transfer
205,24,Male,Sneakers,Footwear,100,Arizona,Fall,4,Store Pickup,35,Cash
206,67,Male,Shirt,Clothing,64,Hawaii,Winter,3,Standard,25,PayPal
207,24,Male,T-shirt,Clothing,55,Wisconsin,Summer,4.2,Free Shipping,6,Venmo
208,62,Male,Gloves,Accessories,91,Rhode Island,Summer,2.9,Express,17,Bank Transfer
209,57,Male,Skirt,Clothing,38,Wisconsin,Spring,4.1,Store Pickup,17,Credit Card
210,55,Male,Sandals,Footwear,97,Minnesota,Winter,3.2,Store Pickup,44,Cash
211,45,Male,Jacket,Outerwear,22,Vermont,Fall,3,2-Day Shipping,6,PayPal
212,69,Male,Skirt,Clothing,92,South Dakota,Fall,4.2,2-Day Shipping,45,Debit Card
213,67,Male,Handbag,Accessories,84,Virginia,Fall,4.2,Express,7,Debit Card
214,30,Male,Handbag,Accessories,93,Nevada,Fall,4.4,Store Pickup,11,Debit Card
215,24,Male,Jacket,Outerwear,50,Hawaii,Summer,4.2,Next Day Air,41,Cash
216,62,Male,Scarf,Accessories,64,New Jersey,Spring,2.8,2-Day Shipping,24,PayPal
217,43,Male,Shorts,Clothing,61,Massachusetts,Spring,3.7,Free Shipping,21,Venmo
218,35,Male,Sunglasses,Accessories,48,Oklahoma,Winter,3.5,Next Day Air,24,Bank Transfer
219,28,Male,T-shirt,Clothing,45,California,Spring,2.9,Store Pickup,8,Credit Card
220,32,Male,Belt,Accessories,88,Nevada,Spring,3,Free Shipping,12,Cash
221,39,Male,Sneakers,Footwear,57,Arizona,Spring,3.7,Express,48,Debit Card
222,28,Male,Hat,Accessories,68,North Carolina,Summer,4.4,Store Pickup,6,Bank Transfer
223,47,Male,Gloves,Accessories,94,New York,Spring,4.5,2-Day Shipping,14,PayPal
224,20,Male,Pants,Clothing,41,Wyoming,Spring,4.8,Free Shipping,34,PayPal
225,63,Male,Socks,Clothing,83,South Dakota,Summer,2.9,Free Shipping,12,Cash
226,25,Male,Jacket,Outerwear,22,Arkansas,Spring,3.2,Next Day Air,11,Bank Transfer
227,29,Male,Shoes,Footwear,74,Texas,Spring,3.3,Free Shipping,5,PayPal
228,50,Male,Jeans,Clothing,90,Rhode Island,Winter,4.2,Standard,25,Venmo
229,18,Male,Socks,Clothing,79,New Hampshire,Spring,2.9,Store Pickup,11,Credit Card
230,70,Male,Sandals,Footwear,28,Ohio,Spring,4.6,Next Day Air,27,PayPal
231,66,Male,Scarf,Accessories,88,Utah,Fall,4.1,Standard,43,Credit Card
232,28,Male,Blouse,Clothing,26,Tennessee,Spring,3.1,2-Day Shipping,18,Debit Card
233,54,Male,Jewelry,Accessories,27,Hawaii,Winter,4.2,Express,32,Bank Transfer
234,19,Male,Sweater,Clothing,83,Arizona,Fall,4.5,Next Day Air,27,Bank Transfer
235,20,Male,Gloves,Accessories,39,South Dakota,Summer,3.7,Next Day Air,24,Credit Card
236,43,Male,Sunglasses,Accessories,89,New Jersey,Winter,3.7,Free Shipping,31,Debit Card
237,38,Male,Coat,Outerwear,68,North Dakota,Winter,3.4,Next Day Air,39,PayPal
238,50,Male,Dress,Clothing,90,Iowa,Summer,3,Store Pickup,36,Debit Card
239,64,Male,Skirt,Clothing,34,Ohio,Fall,4.2,Free Shipping,5,Cash
240,49,Male,Pants,Clothing,51,Vermont,Summer,2.9,Express,47,Credit Card
241,47,Male,Sweater,Clothing,45,Montana,Winter,3.5,Free Shipping,29,Bank Transfer
242,36,Male,Hoodie,Clothing,88,Delaware,Winter,4.1,Free Shipping,43,Venmo
243,55,Male,Coat,Outerwear,85,New York,Summer,4.3,Store Pickup,40,Debit Card
244,25,Male,Jewelry,Accessories,100,Kentucky,Winter,2.8,2-Day Shipping,4,Debit Card
245,53,Male,Belt,Accessories,42,Oregon,Spring,4.9,2-Day Shipping,39,PayPal
246,49,Male,Sandals,Footwear,53,Rhode Island,Summer,3.3,Next Day Air,45,Venmo
247,35,Male,Sunglasses,Accessories,86,Nevada,Spring,3.2,Express,20,Venmo
248,29,Male,Sweater,Clothing,66,Montana,Spring,4.4,Standard,14,Debit Card
249,47,Male,Belt,Accessories,100,Pennsylvania,Winter,4.8,Express,33,PayPal
250,53,Male,Handbag,Accessories,47,Alaska,Fall,4.2,Standard,18,Credit Card
251,33,Male,Skirt,Clothing,25,Mississippi,Fall,4,Express,9,Bank Transfer
252,21,Male,Handbag,Accessories,51,Wyoming,Winter,2.5,Standard,34,PayPal
253,32,Male,Shorts,Clothing,41,Delaware,Summer,3.9,Free Shipping,33,Venmo
254,52,Male,Boots,Footwear,73,Oklahoma,Winter,4.9,2-Day Shipping,15,Bank Transfer
255,67,Male,Sunglasses,Accessories,42,Indiana,Winter,3.5,Store Pickup,4,PayPal
256,43,Male,Scarf,Accessories,20,Maryland,Spring,4.2,Free Shipping,25,Debit Card
257,58,Male,Jewelry,Accessories,30,South Dakota,Spring,4.7,Express,20,Credit Card
258,20,Male,Handbag,Accessories,53,West Virginia,Summer,4.5,Express,5,Credit Card
259,61,Male,Gloves,Accessories,74,Alabama,Spring,2.8,Express,16,Cash
260,32,Male,Jeans,Clothing,57,Louisiana,Fall,2.9,Standard,13,Debit Card
261,38,Male,Hat,Accessories,57,Montana,Winter,3.2,2-Day Shipping,11,Credit Card
262,21,Male,Jeans,Clothing,77,California,Winter,4.9,Standard,21,Credit Card
263,37,Male,Pants,Clothing,40,Hawaii,Summer,3.7,Next Day Air,6,Debit Card
264,27,Male,Shorts,Clothing,46,Iowa,Summer,4.3,Store Pickup,29,Venmo
265,36,Male,Pants,Clothing,78,Colorado,Fall,3.9,Store Pickup,15,Cash
266,32,Male,Backpack,Accessories,59,Michigan,Spring,3.2,2-Day Shipping,17,Bank Transfer
267,51,Male,Jewelry,Accessories,75,Louisiana,Summer,3.1,Express,32,Credit Card
268,64,Male,Sweater,Clothing,54,Maryland,Spring,3.9,2-Day Shipping,42,Venmo
269,68,Male,Shoes,Footwear,42,Georgia,Spring,2.6,Store Pickup,21,Cash
270,68,Male,Blouse,Clothing,44,Georgia,Winter,3.3,Next Day Air,9,Cash
271,33,Male,Jeans,Clothing,52,North Dakota,Fall,4.6,Free Shipping,16,Bank Transfer
272,65,Male,Sunglasses,Accessories,69,Maryland,Summer,4.6,Express,42,Credit Card
273,48,Male,Jewelry,Accessories,26,Oregon,Summer,4.4,2-Day Shipping,37,Debit Card
274,69,Male,Coat,Outerwear,33,North Dakota,Spring,4.2,Express,32,Debit Card
275,59,Male,Jewelry,Accessories,32,Maryland,Spring,3,Express,28,Cash
276,48,Male,Backpack,Accessories,85,Virginia,Winter,4,Express,13,Credit Card
277,25,Male,Skirt,Clothing,30,South Dakota,Fall,3.5,Express,11,Bank Transfer
278,29,Male,Shirt,Clothing,29,Georgia,Winter,3,Store Pickup,36,Bank Transfer
279,57,Male,Sweater,Clothing,95,Hawaii,Spring,3.7,Express,23,Debit Card
280,23,Male,Sneakers,Footwear,69,Arkansas,Summer,4,Standard,37,Bank Transfer
281,45,Male,Sandals,Footwear,69,Montana,Fall,4.2,2-Day Shipping,21,Cash
282,38,Male,Belt,Accessories,61,Oklahoma,Spring,2.5,Standard,22,Debit Card
283,21,Male,Skirt,Clothing,94,Minnesota,Summer,3,2-Day Shipping,9,Cash
284,32,Male,Sweater,Clothing,30,Montana,Fall,3.2,Next Day Air,16,Venmo
285,63,Male,Skirt,Clothing,45,Ohio,Summer,3.5,Standard,4,PayPal
286,29,Male,Handbag,Accessories,39,Kentucky,Summer,4.8,Express,3,Debit Card
287,27,Male,Jewelry,Accessories,51,Nebraska,Summer,2.6,Store Pickup,6,Debit Card
288,56,Male,Scarf,Accessories,37,Delaware,Spring,3.4,2-Day Shipping,18,Venmo
289,30,Male,T-shirt,Clothing,62,North Carolina,Winter,3.7,2-Day Shipping,34,Venmo
290,49,Male,Coat,Outerwear,85,New York,Fall,4.5,2-Day Shipping,26,Credit Card
291,58,Male,T-shirt,Clothing,33,Colorado,Winter,3.7,Standard,50,PayPal
292,57,Male,Dress,Clothing,26,Delaware,Fall,3.3,Next Day Air,40,Bank Transfer
293,60,Male,Shoes,Footwear,99,Utah,Spring,4.7,Free Shipping,24,Cash
294,69,Male,Handbag,Accessories,39,Connecticut,Spring,2.7,Express,33,PayPal
295,70,Male,Skirt,Clothing,20,New Jersey,Spring,4.6,Store Pickup,19,Credit Card
296,53,Male,Sunglasses,Accessories,42,West Virginia,Winter,2.7,Store Pickup,24,Credit Card
297,25,Male,Sandals,Footwear,74,Indiana,Spring,4.8,2-Day Shipping,19,Credit Card
298,48,Male,Shoes,Footwear,26,Delaware,Summer,4.4,Standard,4,Credit Card
299,69,Male,T-shirt,Clothing,53,Maryland,Winter,4,Standard,11,Venmo
300,25,Male,Sneakers,Footwear,80,Pennsylvania,Summer,3.2,Next Day Air,28,PayPal
301,29,Male,Hat,Accessories,98,Iowa,Spring,4.4,Store Pickup,24,PayPal
